Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,branch-h95v,branch-u9i4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
1,1667377859998,02/11/2022 08:30:59,1667377859847,1,02/11/2022 09:30:59,102467,4,task-ysdh,,24948544,2,7339219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1440x900,1440x820,,chartTest,1,168,chartFirst,,no_preTest,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1667378004683,02/11/2022 08:33:24,1667378004435,1,02/11/2022 09:33:24,102467,4,task-ysdh,,24948544,2,7339219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1440x900,1440x820,,chartTest,1,168,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,144546,,,,,0,1,0,,,,,,title,
3,1667378005215,02/11/2022 08:33:25,1667378005147,1,02/11/2022 09:33:25,102467,4,task-ysdh,,24948544,2,7339219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1440x900,1440x820,,chartTest,1,168,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_button,693,,,,,0,1,0,,,,,,va,
4,1667378005822,02/11/2022 08:33:25,1667378005758,1,02/11/2022 09:33:25,102467,4,task-ysdh,,24948544,2,7339219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1440x900,1440x820,,chartTest,1,168,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,599,,,,,0,1,0,,,,,,cs,
5,1667378016392,02/11/2022 08:33:36,1667378016324,1,02/11/2022 09:33:36,102467,4,task-ysdh,,24948544,2,7339219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1440x900,1440x820,,chartTest,1,168,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,Zone1,response_text_entry,10550,,Enter Key,-0.26,1,0,1,0,,,,,,vaScore,
6,1667378019748,02/11/2022 08:33:39,1667378019673,1,02/11/2022 09:33:39,102467,4,task-ysdh,,24948544,2,7339219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1440x900,1440x820,,chartTest,1,168,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,5,1,1,Screen 1,Zone1,response_text_entry,3340,,Enter Key,1.92,1,0,1,0,,,,,,csScore,
7,1667378035478,02/11/2022 08:33:55,1667378035415,1,02/11/2022 09:33:55,102467,4,task-ysdh,,24948544,2,7339219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1440x900,1440x820,,chartTest,1,168,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,6,1,1,Screen 1,advancementZone,continue_button,15729.99999999997,,,,,0,1,0,,,,,,end,
8,1667378035568,02/11/2022 08:33:55,1667378035433,1,02/11/2022 09:33:55,102467,4,task-ysdh,,24948544,2,7339219,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.0,1440x900,1440x820,,chartTest,1,168,chartFirst,,no_preTest,,Spreadsheet1,,,END TASK,,,,,175586,,,,,0,1,0,,,,,,,
END OF FILE
