Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,branch-h95v,branch-u9i4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
4,1667476894405,03/11/2022 12:01:34,1667476894255,1,03/11/2022 13:01:34,102467,5,task-4atu,,24976993,21,7339237,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.6,1470x956,1470x817,,preTest,1,173,chartFirst,,no_preTest,,Spreadsheet1,,,END TASK,,,,,6608,,,,,0,1,0,,,,,,,
1,1667474821504,03/11/2022 11:27:01,1667474822801,1,03/11/2022 12:27:02,102467,5,task-4atu,,24976058,20,7339240,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,preTest,1,168,chartFirst,,no_preTest,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1667474824520,03/11/2022 11:27:04,1667474825856,1,03/11/2022 12:27:05,102467,5,task-4atu,,24976058,20,7339240,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,preTest,1,168,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonB,response_button_text,3032.0999999940395,,,No,1,0,1,0,,,,,,preTest,
3,1667474826318,03/11/2022 11:27:06,1667474827657,1,03/11/2022 12:27:07,102467,5,task-4atu,,24976058,20,7339240,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,preTest,1,168,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,continue_button,4833.699999988079,,,,,0,1,0,,,,,,preTest,
4,1667474826398,03/11/2022 11:27:06,1667474827660,1,03/11/2022 12:27:07,102467,5,task-4atu,,24976058,20,7339240,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 107.0.1418.26,1280x720,1233x609,,preTest,1,168,chartFirst,,no_preTest,,Spreadsheet1,,,END TASK,,,,,4859,,,,,0,1,0,,,,,,,
1,1667472734732,03/11/2022 10:52:14,1667472734602,1,03/11/2022 11:52:14,102467,5,task-4atu,,24975409,19,7339235,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x679,,preTest,1,,,,preTest,183,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1667472736810,03/11/2022 10:52:16,1667472736705,1,03/11/2022 11:52:16,102467,5,task-4atu,,24975409,19,7339235,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x679,,preTest,1,,,,preTest,183,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,buttonA,response_button_text,2082.399999976158,,,Yes,1,0,1,0,,,,,,preTest,
3,1667472738216,03/11/2022 10:52:18,1667472738122,1,03/11/2022 11:52:18,102467,5,task-4atu,,24975409,19,7339235,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x679,,preTest,1,,,,preTest,183,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,Zone1,continue_button,3499.7999999821186,,,,,0,1,0,,,,,,preTest,
4,1667472738302,03/11/2022 10:52:18,1667472738124,1,03/11/2022 11:52:18,102467,5,task-4atu,,24975409,19,7339235,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x679,,preTest,1,,,,preTest,183,Spreadsheet1,,,END TASK,,,,,3522,,,,,0,1,0,,,,,,,
1,1667471572704,03/11/2022 10:32:52,1667471572077,1,03/11/2022 11:32:52,102467,5,task-4atu,,24975000,18,7339234,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 106.0.0.0,1366x768,1366x625,,preTest,1,,,,preTest,178,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
