Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-3eqj,randomiser-e1us,branch-8hy4,branch-h95v,branch-u9i4,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER
1,1668076739358,10/11/2022 10:38:59,1668076743060,1,10/11/2022 11:39:03,102467,5,task-ysdh,,25152933,59,7401002,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1280x720,1280x577,,chartTest,2,183,chartFirst,,no_preTest,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1668076910665,10/11/2022 10:41:50,1668076914177,1,10/11/2022 11:41:54,102467,5,task-ysdh,,25152933,59,7401002,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1280x720,1280x577,,chartTest,2,183,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,171073.5,,,,,0,1,0,,,,,,title,
3,1668076912147,10/11/2022 10:41:52,1668076915898,1,10/11/2022 11:41:55,102467,5,task-ysdh,,25152933,59,7401002,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1280x720,1280x577,,chartTest,2,183,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_button,1707.699999988079,,,,,0,1,0,,,,,,va,
4,1668076913215,10/11/2022 10:41:53,1668076916953,1,10/11/2022 11:41:56,102467,5,task-ysdh,,25152933,59,7401002,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1280x720,1280x577,,chartTest,2,183,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,1042.300000011921,,,,,0,1,0,,,,,,cs,
5,1668076916894,10/11/2022 10:41:56,1668076920644,1,10/11/2022 11:42:00,102467,5,task-ysdh,,25152933,59,7401002,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1280x720,1280x577,,chartTest,2,183,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,advancementZone,continue_button,3680.9000000059605,,,,,0,1,0,,,,,,end,
6,1668076916990,10/11/2022 10:41:56,1668076920652,1,10/11/2022 11:42:00,102467,5,task-ysdh,,25152933,59,7401002,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 107.0.0.0,1280x720,1280x577,,chartTest,2,183,chartFirst,,no_preTest,,Spreadsheet1,,,END TASK,,,,,177592,,,,,0,1,0,,,,,,,
1,1668071794871,10/11/2022 09:16:34,1668071794688,1,10/11/2022 10:16:34,102467,5,task-ysdh,,25150817,62,7428394,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,2880x1800,2880x1720,,chartTest,2,188,chartFirst,,no_preTest,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1668072005315,10/11/2022 09:20:05,1668072004655,1,10/11/2022 10:20:04,102467,5,task-ysdh,,25150817,62,7428394,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,2880x1800,2880x1720,,chartTest,2,188,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,61177.00000000001,,,,,0,1,0,,,,,,title,
3,1668072006312,10/11/2022 09:20:06,1668072006027,1,10/11/2022 10:20:06,102467,5,task-ysdh,,25150817,62,7428394,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,2880x1800,2880x1720,,chartTest,2,188,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_button,1364.0000000000073,,,,,0,1,0,,,,,,va,
4,1668072007986,10/11/2022 09:20:07,1668072007819,1,10/11/2022 10:20:07,102467,5,task-ysdh,,25150817,62,7428394,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,2880x1800,2880x1720,,chartTest,2,188,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,1786.9999999999927,,,,,0,1,0,,,,,,cs,
5,1668072010169,10/11/2022 09:20:10,1668072010111,1,10/11/2022 10:20:10,102467,5,task-ysdh,,25150817,62,7428394,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,2880x1800,2880x1720,,chartTest,2,188,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,advancementZone,continue_button,2286.0000000000073,,,,,0,1,0,,,,,,end,
6,1668072010244,10/11/2022 09:20:10,1668072010113,1,10/11/2022 10:20:10,102467,5,task-ysdh,,25150817,62,7428394,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.1,2880x1800,2880x1720,,chartTest,2,188,chartFirst,,no_preTest,,Spreadsheet1,,,END TASK,,,,,215425,,,,,0,1,0,,,,,,,
1,1667563557864,04/11/2022 12:05:57,1667563556465,1,04/11/2022 13:05:56,102467,5,task-ysdh,,24996614,33,7339249,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x821,,chartTest,2,163,chartFirst,,no_preTest,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
2,1667563565513,04/11/2022 12:06:05,1667563564123,1,04/11/2022 13:06:04,102467,5,task-ysdh,,24996614,33,7339249,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x821,,chartTest,2,163,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,1,1,1,Screen 1,advancementZone,continue_button,7635.699999988079,,,,,0,1,0,,,,,,title,
3,1667563568065,04/11/2022 12:06:08,1667563566663,1,04/11/2022 13:06:06,102467,5,task-ysdh,,24996614,33,7339249,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x821,,chartTest,2,163,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,2,1,1,Screen 1,advancementZone,continue_button,2533.699999988079,,,,,0,1,0,,,,,,va,
4,1667563570166,04/11/2022 12:06:10,1667563568786,1,04/11/2022 13:06:08,102467,5,task-ysdh,,24996614,33,7339249,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x821,,chartTest,2,163,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,3,1,1,Screen 1,advancementZone,continue_button,2114.100000023842,,,,,0,1,0,,,,,,cs,
5,1667563576185,04/11/2022 12:06:16,1667563574421,1,04/11/2022 13:06:14,102467,5,task-ysdh,,24996614,33,7339249,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x821,,chartTest,2,163,chartFirst,,no_preTest,,Spreadsheet1,Spreadsheet1,4,1,1,Screen 1,advancementZone,continue_button,5627.399999976158,,,,,0,1,0,,,,,,end,
6,1667563576253,04/11/2022 12:06:16,1667563574424,1,04/11/2022 13:06:14,102467,5,task-ysdh,,24996614,33,7339249,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 106.0.0.0,1440x900,1440x821,,chartTest,2,163,chartFirst,,no_preTest,,Spreadsheet1,,,END TASK,,,,,17959,,,,,0,1,0,,,,,,,
1,1667560960931,04/11/2022 11:22:40,1667560960838,1,04/11/2022 12:22:40,102467,5,task-ysdh,,24995322,32,7339247,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.4,1440x900,1440x735,,chartTest,2,178,chartFirst,,no_preTest,,Spreadsheet1,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,
